,Name,Description,Class,Modifier,Type,Required Proficiency,Rarity,Weight,Price,Special Attribute 1,Special Attribute 2,Special Attribute 3,Special Attribute 4,Location,Img url,UID,UUID
0,Vest of Soul Rejuvenation,"Vest of Soul Rejuvenation is a very rare Clothing that allows the wearer to heal on a successful saving throw against a spell, and can make an Unarmed Attack against any attacker that misses, using a Reaction. ",10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,4160 gp,"Defier's Rejuvenation: Whenever the wearer succeeds on a Saving throw against a Spell, they regain 1d4hit points.",Greater Kushigo Counter: The wearer can use a Reaction to make an Unarmed Strike against any attacker that misses.,Armour Class +2,,If Rolan is dead: Sold by Lorroakan's Projection in Sorcerous Sundries If Rolan and Lorroakan are both alive: Sold by Rolan in Sorcerous Sundries If Rolan is alive but Lorroakan is dead: Can be bought off of Rolan via trade option on the bottom left during dialogue in Ramazith's Tower,https://bg3.wiki/w/images/thumb/7/78/Vest_of_Soul_Rejuvenation_Icon.png/300px-Vest_of_Soul_Rejuvenation_Icon.png,MAG_BarbMonk_Cloth_A_2_Late,1c69a87e-9136-4e13-90af-c0f02d0fc81f
1,The Graceful Cloth,The Graceful Cloth is a rare piece of Clothing that gives its wearer +2 Dexterity and the Cat's Grace condition. It also boosts the wearer's Dexterity Saving Throws and jump distance. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,800 gp / 1050 gpHHonour,"Cat's Grace: You gain Cat's Grace and increase your Dexterity by 2, to a maximum of 20.",Nimble As a Cat: You gain a +1 bonus to your Dexterity Saving throws and also increase your Jump distance by 1.5m / 5ft.,,,Cat's Grace  Has Advantage on Dexterity Checks. Takes half falling damage.,https://bg3.wiki/w/images/thumb/2/2e/The_Graceful_Cloth_Icon.png/300px-The_Graceful_Cloth_Icon.png,MAG_BarbMonk_Cloth_A_1,b18ef236-44dc-43cd-8f6e-51ae785fae4d
2,Shelter of Athkatla,"Shelter of Athkatla is a rare Clothing that grants the wearer Advantage against spell Saving Throws, and grants the ability to cast Mirror Image",10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,1000 gp,Spell Resistance: You have Advantage on Saving throws against spells.,Mirror Image: Cast as a level 2 spell (Recharge: Long rest).,,,Act Three: Looted from Lorroakan in Ramazith's Tower.,https://bg3.wiki/w/images/thumb/d/d3/Shelter_of_Athkatla_Icon.png/300px-Shelter_of_Athkatla_Icon.png,MAG_LC_Lorroakan_Robe,09e5d397-bcf6-456a-be6e-e6b474721f1c
3,Simple Cloth,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
4,Robe,A Robe is a common piece of Clothing. ,10,Dexterity,Clothing,,Common,1.8kg / 3.6lb,11 gp,,,,,"A Robe is a common piece of Clothing.      Crafted with care, this robe will protect you from the elements. It won't do much against a sword's thrust, though.  Properties    10 Armour Class + Dexterity modifier     Clothing   Rarity: Common   Weight: 1.8kg / 3.6lb   Price: 11 gp    UID  ARM_Robe_B_2    UUID  467cca20-42bb-45cd-8eac-6ed49bbc2707",https://bg3.wiki/w/images/thumb/0/05/Robe_B_Faded.png/300px-Robe_B_Faded.png,ARM_Robe_B,69302808-57a0-4fbb-9938-137bce5421d1
5,Robe of Exquisite Focus,The Robe of Exquisite Focus is a rare piece of Clothing that increases its wearer's Spell Save DC. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,800 gp,High Spellcasting: You gain a +1 bonus to Spell Save DC.,,,,Sold by Araj Oblodra on the main floor of Moonrise Towers in Act Two.,https://bg3.wiki/w/images/thumb/5/5d/Robe_of_Exquisite_Focus_Icon.png/300px-Robe_of_Exquisite_Focus_Icon.png,MAG_OfArcanicAssault_Robe,1f038181-a534-434b-b447-7c4084636cc3
6,Robe of Spell Resistance,Robe of Spell Resistance is a rare Clothing that allows the wearer to resist the effects of spells. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,gp,Saving throws +2,,,,"Not accessible through normal gameplay, but can still be accessed via third party tools.",https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_OfSpellResistance_Robe,c3309d8f-8cff-4418-b064-bca8bd77700c
7,Robe of Supreme Defences,"The Robe of Supreme Defences is a very rare Clothing that adds your Spellcasting Modifier to your Saving Throws, when you are concentrating on a spell. ",10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,1600 gp,"Exquisite Focus: While concentrating, you add your Spellcasting Modifier to your Saving throws and gain a +1 bonus to your Armour Class.",,,,Purchased from Ferg Drogher near Requisitioned Barn in Rivington during Act Three.,https://bg3.wiki/w/images/thumb/f/f3/Robe_of_Supreme_Defences_Icon.png/300px-Robe_of_Supreme_Defences_Icon.png,MAG_OfArcanicDefense_Robe,f3e90ffd-1559-4915-8829-740f55741c92
8,Robe of the Weave,"Robe of the Weave is a very rare Clothing that allows the wearer to heal when succeeding a saving throw against a spell, and boosts Spell Save DC and Spell Attack by 1 each. ",10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,2900 gp,Arcane Enchantment: You gain a +1 bonus to Spell Save DC and Spell attack rolls.,"Weave Eater: Whenever the wearer succeeds a Saving throw against a spell, they regain 1d6hit points.",Armour Class +2,,Located inside an Globe of Invulnerability in Ramazith's Tower during Act Three. (Use See Invisibility to see the lever and disable the globe),https://bg3.wiki/w/images/thumb/0/0c/Robe_of_the_Weave_Icon.png/300px-Robe_of_the_Weave_Icon.png,MAG_EndGameCaster_Robe,56906f41-61a3-4c23-aa46-2295e08d9add
9,Potent Robe,The Potent Robe is a very rare piece of Clothing that uses your Charisma modifier to increase your cantrips' damage as well as give you temporary hit points. ,10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,1600 gp,Gregarious Caster: Your cantrips deal additional damage equal to your Charisma Modifier.,"Well-Liked and Well-Fortified: At the beginning of the wearer's turn, the robe activates, granting them Temporary Hit Points equal to their Charisma Modifier.",Armour Class +1,,Rewarded by Alfira for successfully completing Rescue the Tieflings in Act Two.,https://bg3.wiki/w/images/thumb/7/70/Potent_Robe_Icon.png/300px-Potent_Robe_Icon.png,MAG_CharismaCaster_Robe,1e64badf-4898-4169-9b02-3910518dc73d
10,Infernal Robe,"Infernal Robe is a very rare piece of Clothing that makes its wearer resistant to Fire damage and grants the Fire Shield (Warm) at level 4, once per Long Rest. ",,,Clothing,,Very Rare,1.8kg / 3.6lb,1600 gp,Fire Shield: Warm: Cast as a level 4 spell (Recharge: Long rest).,Grants Resistance to Fire damage.,Armour Class +1,,"Act One: After recruiting Wyll, you must find and kill Karlach. Mizora will reward Wyll with this robe when taking a long rest.",https://bg3.wiki/w/images/thumb/9/90/Infernal_Robe_Icon.png/300px-Infernal_Robe_Icon.png,ORI_Wyll_Infernal_Robe,b2de6dee-50c1-45b9-b35d-7d5e8d53135f
11,Garb of The Land and Sky,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
12,Bonespike Garb,"Bonespike Garb is a very rare Clothing that grants temporary hit points when using Rage, and reduces incoming damage by 2. Attackers receive Piercing damage when the wearer is struck. ",10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,1600 gp,Slabjaw Determination: You gain 15 temporary hit points whenever you Rage.,"Exoskeletal Endurance: Reduce all incoming damage by 2. When the wearer is struck by a melee attack, the attacker takes Constitution modifierPiercing damage.",,,Purchased from Exxvikyap at Rivington General in Rivington during Act Three.,https://bg3.wiki/w/images/thumb/2/2a/Bonespike_Garb_Icon.png/300px-Bonespike_Garb_Icon.png,MAG_BarbMonk_Cloth_B_1,7cca51a5-bfa6-4c65-b2d9-ef0167762a19
13,Drunken Cloth,Drunken Cloth is a rare piece of Clothing that grants the wearer Advantage on Constitution Saving Throws while Drunk. They also gain temporary hit points at the start of each turn. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,800 gp,"Snowy Liver: While Drunk you have Advantage on Constitution Saving throws, and you gain Temporary Hit Points equal to your Constitution Modifier at the start of your turn.",,,,"Purchased from Severn in the Bar of the Guildhall, found in the Lower City Sewers.",https://bg3.wiki/w/images/thumb/4/40/Drunken_Cloth_Icon.png/300px-Drunken_Cloth_Icon.png,MAG_Drunken_Cloth,652c5cb5-b03b-4bd4-8993-3d4f07ed215c
14,Poisoner's Robe,The Poisoner's Robe is an uncommon piece of Clothing that makes the wearer's poison spells deal more damage. ,,,Clothing,,Uncommon,1.8kg / 3.6lb,250 gp,"Poison Trails: When the wearer casts a spell that deals Poison damage, it deals an additional 1d4Poison damage.",,,,This robe is dropped by the Phase Spider Matriarch.,https://bg3.wiki/w/images/thumb/9/9f/Poisoners_Robe_Icon.png/300px-Poisoners_Robe_Icon.png,UNI_FOR_SpiderQueen_Robe,0db056b3-23d1-4873-883d-482b5d9337b5
15,Robe of Summer,The Robe of Summer is an uncommon piece of Clothing that grants the wearer Resistance to Cold damage. ,10,Dexterity,Clothing,,Uncommon,1.8kg / 3.6lb,250 gp,Resistance to Cold damage.,,,,"Act One: Found inside a crate sitting in the Hidden Vault within the Druid Grove. You will need the Rune of the Wolf carried by Rath to access the vault; which you can obtain by talking to Rath after rescuing Halsin, pickpocketing him, or killing him.",https://bg3.wiki/w/images/thumb/3/31/Robe_of_Summer_Icon.png/300px-Robe_of_Summer_Icon.png,UNI_RobeOfSummer,ffed890a-69fe-4798-8c71-1bd3b72369bc
16,Simple Robe,A Simple Robe is a common piece of Clothing. ,10,Dexterity,Clothing,,Common,1.8kg / 3.6lb,11 gp,,,,,Starting armour for a Wizard. This robe can be found worn by many characters throughout the game.,https://bg3.wiki/w/images/thumb/8/87/Simple_Robe_Icon.png/300px-Simple_Robe_Icon.png,ARM_Robe,ARM_Robe_A_Body | ARM_Padded_A_Pants
17,Sorcerer Robe,The Sorcerer Robe is a common piece of Clothing and the starting armour for a Wild Magic Sorcerer. ,10,Dexterity,Clothing,,Common,1.8kg / 3.6lb,11 gp,,,,,Starting clothing for a Wild Magic Sorcerer. Sometimes sold by Lorroakan's Projection at Sorcerous Sundries.,https://bg3.wiki/w/images/thumb/e/e5/Sorcerer_Robe_Icon.png/300px-Sorcerer_Robe_Icon.png,ARM_Robe_Sorcerer,ARM_Robe_C_2_Body | ARM_Bandit_A_Pants | ARM_Robe_C_Bracers | ARM_Robe_C_Sleeves
18,The Protecty Sparkswall,The Protecty Sparkswall is an rare Clothing that increases the wearer's defences while they have Lightning Charges and grants a +1 bonus to their Spell Save DC. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,260 gp,High Spellcasting: You gain a +1 bonus to Spell Save DC.,Sparkswall Armour: The wearer has +1 to Armour Class and Saving throws as long as they have Lightning Charges.,,,Looted from a Gilded Chest at the end of the trapped bridge in Grymforge X:-645Y:360.,https://bg3.wiki/w/images/thumb/5/55/The_Protecty_Sparkswall_Icon.png/300px-The_Protecty_Sparkswall_Icon.png,MAG_ChargedLightning_BonusAC_Robe,f28c3264-8cdb-46c1-800f-a47a01e49efc
19,Bloodguzzler Garb,The Bloodguzzler Garb is an uncommon piece of Clothing that grants its wearer Wrath when an enemy damages the wearer. ,10,Dexterity,Clothing,,Uncommon,1.8kg / 3.6lb,250 gp,"Grievous Retribution: When an enemy damages the wearer, the wearer gains Wrath for 2 turns.",,,,Dropped by the Bulette in the Underdark.,https://bg3.wiki/w/images/thumb/b/b5/Bloodguzzler_Garb_Icon.png/300px-Bloodguzzler_Garb_Icon.png,ARM_Barbarian_Magic,5fc2fcce-810d-47d2-824c-f6acf7b81a22
20,Bided Time,Bided Time is a set of uncommon Clothing that causes the wearer to gain Arcane Charge whenever they are hit by a melee attack. ,10,Dexterity,Clothing,,Uncommon,1.8kg / 3.6lb,250 gp,Time Thoroughly Bided: The wearer gains Arcane Charge whenever they are hit by a melee attack.,,,,"Arcane Charge  While Threatened, deal +2 bonus to damage with spells.",https://bg3.wiki/w/images/thumb/2/2f/Bided_Time_Icon.png/300px-Bided_Time_Icon.png,MAG_CQCaster_GainArcaneChargeOnDamaged_Robe,9e8f0ce6-c344-47f9-bb99-202cdd2f7d73
21,Armour of Uninhibited Kushigo,"The Armour of Uninhibited Kushigo is an uncommon piece of Clothing that allows the wearer to counter attack an enemy that misses them, so long as Patient Defence is active. ",10,Dexterity,Clothing,,Uncommon,1.8kg / 3.6lb,250 gp,Kushigo Counter: While Patient Defence is active: the wearer can use their reaction to make an unarmed strike against any attacker that misses.,,,,Find the Missing Boots optional quest reward by Sergeant Thrinn in Grymforge after giving her Boots of Speed. The other quest reward option is Bracing Band.,https://bg3.wiki/w/images/thumb/5/53/Armour_of_Uninhibited_Kushigo_Icon.png/300px-Armour_of_Uninhibited_Kushigo_Icon.png,MAG_Monk_Magic_Armor,ab7f13b8-3b3f-49be-8708-4d52b9690e45
22,Elegant Robe,Elegant Robe is a common Camp Clothing. ,,,Camp Clothing,,Common,1kg / 2lb,55 gp,,,,,"Sold by Figaro 'Facemaker' Pennygood at Facemaker's Boutique in the Lower City of Baldur's Gate, close to the Baldur's Gate waypoint.",https://bg3.wiki/w/images/thumb/b/be/Camp_DaisyDress_White_Faded.webp/300px-Camp_DaisyDress_White_Faded.webp.png,ARM_Vanity_ElegantRobe,CLT_Daisy_Dress_A | CLT_Daisy_Dress_A_Accessories
23,Barbarian Clothes,Barbarian Clothes are a common piece of Clothing. ,10,Dexterity,Clothing,,Common,1.8kg / 3.6lb,11 gp,,,,,Starting clothing for a barbarian.,https://bg3.wiki/w/images/thumb/8/88/Barbarian_Clothes_Icon.png/300px-Barbarian_Clothes_Icon.png,ARM_Barbarian,ARM_Barbarian_A_Body | ARM_Barbarian_A_Pants
24,Obsidian Laced Robe,"Obsidian Laced Robe is rare piece of Clothing that deals Fire damage to enemies on a successful Saving Throw against their spells, and grants its wearer resistance to Fire damage. ",,,Clothing,,Rare,1.8kg / 3.6lb,800 gp,"Flaming Revenge: On a successful Saving throw against a foe's spell, deal 1d4 + proficiency bonusFire damage to them.",Grants Resistance to Fire damage.,,,Act Two: Bought from Quartermaster Talli at the Last Light Inn.,https://bg3.wiki/w/images/thumb/f/f2/Obsidian_Laced_Robe_Icon.png/300px-Obsidian_Laced_Robe_Icon.png,MAG_Heat_Fire_Robe,63df7557-efe6-4e11-8a0d-10ab211ac1b8
25,The Mighty Cloth,The Mighty Cloth is a rare piece of Clothing that gives its wearer +2 Strength and the Bull's Strength condition. Also grants the wearer the Bull Rush class action. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,800 gp / 1050 gpHHonour,"Bull's Strength: You gain Bull's Strength and increase your Strength by 2, to a maximum of 20.",Unwavering Bull: You cannot be pushed against your will and you have an Advantage on Saving throws against being Restrained.,Bull Rush: Charge forward and possibly knock your foes back 3m / 10ft.,,Bull's Strength  Has Advantage on Strength Checks. Weight Limit doubled.,https://bg3.wiki/w/images/thumb/2/2e/The_Graceful_Cloth_Icon.png/300px-The_Graceful_Cloth_Icon.png,MAG_BarbMonk_Offensive_Cloth,48215bcb-b4a2-48cb-bfbe-8b601e678032
26,Enraging Heart Garb,The Enraging Heart Garb is a rare piece of Clothing that grants Wrath while the wearer is Raging. It also increases Constitution by 2. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,800 gp,"Ruintamer Heart: While Raging, the wearer generates 2 turns of Wrath.",Constitution +2 (up to 20),,,Sold by Lann Tarv in the Moonrise Towers.,https://bg3.wiki/w/images/thumb/2/28/Enraging_Heart_Garb_Icon.png/300px-Enraging_Heart_Garb_Icon.png,MAG_Barbarian_Magic_Armor_1,3a213e92-1714-4f11-9726-ca762943d2cc
27,Icebite Robe,Icebite Robe is a rare piece of Clothing that grants the wearer Resistance to Cold damage and allows them to cast Armour of Agathys as a 3rd level spell once per Long Rest. ,,,Clothing,,Rare,1.8kg / 3.6lb,800 gp,Resistance to Cold damage.,Armour of Agathys: Cast as a level 3 spell (Recharge: Long rest).,,,"Icebite Robe is found inside a sarcophagus in the Shadow-Cursed Lands, X:-158Y:73.",https://bg3.wiki/w/images/thumb/1/17/Icebite_Robe_Icon.png/300px-Icebite_Robe_Icon.png,MAG_Frost_GenerateFrostOnDamage_Robe,50faa322-b43d-475a-91b7-25d390ac3ef6
28,Viconia's Priestess Robe,"Viconia's Priestess Robe is a rare Clothing that grants the wearer Advantage on Stealth checks while Obscured, and enhances Shield of Faith to give a +2 to all Saving Throws as well. ",10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,1600 gp,"Shar's Umbrae: While obscured, the wearer has Advantage on Stealth Checks.",Sharran Veil: Shield of Faith also grants you a +2 to all Saving throws.,Armour Class +1,,"Worn by Viconia DeVir, Mother Superior of the Shar Enclave under the House of Grief in the Lower City.",https://bg3.wiki/w/images/thumb/2/20/Viconia%27s_Priestess_Robe_icon.png/300px-Viconia%27s_Priestess_Robe_icon.png,MAG_Viconia_Robe,bf59b289-5603-479f-8fd3-7cb258d31ba5
29,Moon Devotion Robe,Moon Devotion Robe is a very rare Clothing that grants Advantage on Constitution Saving Throws and grants the ability to cast Produce Flame and Lunar Bulwark. ,10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,1600 gp,"Selûne's Protection: While the wearer has Mage Armour, each successful Saving throw causes the source of the Saving Throw to take 1-4Radiant damage.",Advantage on Constitution Saving throws.,Saving throws +1,Lunar Bulwark: Can cast as a level 1 spell (Recharge: Long rest).,Looted from Isobel in numerous locations: Last Light Inn if she is killed after dealing with the Nightsong but before completing the assault on Moonrise. Mind Flayer Colony if she is kidnapped by Marcus or killed at Last Light Inn before dealing with the Nightsong. In your camp in act 3 if she accompanies you. Ramazith's Tower in act 3 if the Nightsong is killed or imprisoned there.,https://bg3.wiki/w/images/thumb/a/a5/Moon_Devotion_Robe_Icon.png/300px-Moon_Devotion_Robe_Icon.png,MAG_Selunite_Isobel_Robe,3b498702-834f-4989-a9d1-c0f3b38fbcfc
30,Cloth of Authority,Cloth of Authority is a rare piece of Clothing that grants immunity to emotion-altering conditions and grants +1 Armour Class and Advantage on Intimidation and Insight checks. ,10,Dexterity,Clothing,,Rare,1.8kg / 3.6lb,800 gp,"Dauntless: You can't be Frightened, and cannot be afflicted with other emotion-altering conditions.",Authority: You have Advantage on Intimidation checks and Insight checks.,Armour Class +1,,Can be looted from Enver Gortash in Wyrm's Rock.,https://bg3.wiki/w/images/thumb/7/74/Cloth_of_Authority_Icon.png/300px-Cloth_of_Authority_Icon.png,MAG_Gortash_Cloth,8b868b78-320b-43d0-b5a8-5e52669fc11e
31,Veil of the Morning,"Veil of the Morning is a very rare Clothing that imposes Disadvantage on Undead Attack Rolls against the wearer, grants the wearer Advantage against Undead spells and actions, and allows the wearer to Turn Undead. ",10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,1600 gp,"Let The Undead Blanch With Fear: Undead have Disadvantage on attack rolls against you, and you have Advantage on Saving throws against their actions and spells.",Turn Undead: Cast as a Class Action (Recharge: Long rest).,,,Can be bought or looted from Mystic Carrion in Philgrave's Mansion inside the Lower City.,https://bg3.wiki/w/images/thumb/8/85/Veil_of_the_Morning_Icon.png/300px-Veil_of_the_Morning_Icon.png,MAG_WYRM_UndeadProtector_Robe,fe48d485-1563-4172-952c-7eb53d9faca8
32,Wavemother's Robe,Wavemother's Robe is a very rare Clothing that grants the wearer Resistance to Fire and Cold damage. The wearer also heals while standing in water and can cast Create or Destroy Water. ,10,Dexterity,Clothing,,Very Rare,1.8kg / 3.6lb,610 gp,Temperature Adjustment: You have Resistance to Fire and Cold Damage.,"Watery Rejuvenation: If the wearer is standing in a water surface at the start of their turn, they heal 1d4hit points.",Create or Destroy Water: Cast as a level 1 spell (Recharge: Long rest).,Armour Class +1.,Act Three: Complete the quest Avenge the Drowned given to you by Allandra Grey in the Water Queen's House.,https://bg3.wiki/w/images/thumb/2/29/Wavemother%27s_Robe_Icon.png/300px-Wavemother%27s_Robe_Icon.png,MAG_Umberlee_Robe_A,56a26829-5103-49e7-8f5a-b88381a86903
33,Torment Drinker Armour,Torment Drinker Armour is a rare Light Armour that grants temporary hit points when the wearer scores a Critical Hit or kills a creature. ,13,Dexterity,Light Armour,Light Armour,Rare,5.85kg / 11.7lb,260 gp,"Bolstering Critical: When scoring a Critical Hit or killing a hostile creature, wearer gains 15 temporary hit points.",,,,"Not accessible through normal gameplay, but can still be accessed via third party tools.",https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,MAG_Critical_BolsteringCritical_Armor,a0dfac7c-c6ea-44f1-a12d-b5e67887ae8e
34,Penumbral Armour,Penumbral Armour is a rare Light Armour that enhances Stealth when the wearer is Obscured. ,12,Dexterity,Light Armour,Light Armour,Rare,5.85kg / 11.7lb,1000 gp,"Stealthier: While Obscured, the wearer gains +3 bonus to Stealth Checks",,,,Act Two: Found in a locked chest in the abandoned house by the river just east of the Last Light Inn at X:33Y:145,https://bg3.wiki/w/images/thumb/a/a0/Penumbral_Armour_Icon.png/300px-Penumbral_Armour_Icon.png,MAG_Shadow_StealthBonusWhileObscured_Armor,3ce4d5d2-3ed0-470e-8cea-bdac81a60583
35,Psychic Feedback Armour,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
36,Armour of Landfall,Armour of Landfall is a very rare Light Armour that improves the spellcasting ability of its wearer and advantage on Constitution Saving Throws. The wearer also heals while standing in vines and can cast Plant Growth. ,13,Dexterity,Light Armour,Light Armour,Very Rare,4.5kg / 9lb,1700 gp,High Spellcasting: You gain a +1 bonus to Spell Save DC.,Green Bed Regeneration: When starting your turn on Plant Growth or Vines regain 1d4 hit points.,Advantage on Constitution Saving throws.,Plant Growth: Cast as a level 3 spell (Recharge: Short rest).,Act Three:   If Rolan is dead: Sold by Lorroakan's Projection in Sorcerous Sundries If Rolan and Lorroakan are both alive: Sold by Rolan in Sorcerous Sundries If Rolan is alive but Lorroakan is dead: Can be pickpocketed from Rolan in Ramazith's Tower,https://bg3.wiki/w/images/thumb/0/03/Armour_of_Landfall_Icon.png/300px-Armour_of_Landfall_Icon.png,MAG_Druid_Land_Magic_Leather_Armor,baa33dbe-6f95-4569-87bf-9582b4b58bd2
37,Bhaalist Armour,Bhaalist Armour is a very rare Light Armour that grants an Aura of Murder and a bonus to Initiative rolls. ,14,Dexterity,Light Armour,Light Armour,Very Rare,5.85kg / 11.7lb,2000 gp / 2700 gpHHonour,"Aura of Murder: Enemies within 2m / 7ft become Vulnerable to Piercing damage, unless they are Resistant or Immune to it.",Ambusher: Gain a +2 bonus to Initiative Rolls.,,,Act Three: Sold by Echo of Abazigal in the Murder Tribunal after the player character accepts Bhaal and becomes an Unholy Assassin.,https://bg3.wiki/w/images/thumb/0/01/Bhaalist_Armour_Icon.png/300px-Bhaalist_Armour_Icon.png,MAG_Bhaalist_Armor,443b2caf-8d36-42cf-b389-d774229ed18c
