,Name,Description,Class,Modifier,Type,Required Proficiency,Rarity,Weight,Price,Special Attribute 1,Special Attribute 2,Special Attribute 3,Special Attribute 4,Location,Img url,UID,UUID
38,Faded Drow Studded Leather Armour,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
39,Drow Studded Leather Armour,Drow Studded Leather Armour is a rare Light Armour that aids the wearer with Stealth checks. ,12,Dexterity,Light Armour,Light Armour,Rare,5.85kg / 11.7lb,1000 gp,Stealth +1,,,,"Act One: Inside a Heavy Chest at Lolth's Cultist's cache X:71Y:-220, climbing up a high spot near the entrance of The Festering Cove",https://bg3.wiki/w/images/thumb/8/81/Drow_Studded_Leather_Armour_Icon.png/300px-Drow_Studded_Leather_Armour_Icon.png,ARM_StuddedLeather_Body_Drow,cab3455f-59fe-42be-8dcd-7cd61149389a
40,Druid Leather Armour,Druid Leather Armour is a common Light Armour. ,11,Dexterity,Light Armour,Light Armour,Common,4.5kg / 9lb,40 gp,,,,,Starting armour for a Druid.,https://bg3.wiki/w/images/thumb/c/c8/Druid_Leather_Armour_Icon.png/300px-Druid_Leather_Armour_Icon.png,ARM_Leather_Druid_A,ARM_Druid_A_Body | ARM_Druid_A_Body_Leaves | ARM_Druid_B_2_Pants
41,Leather Armour,Leather Armour is a common Light Armour. It is the starter Armour for Rangers. ,11,Dexterity,Light Armour,Light Armour,Common,4.5kg / 9lb,40 gp,,,,,Starting armour for a Ranger Sold by the following merchants: Arron in the Druid Grove Derryth Bonecloak in the Myconid Colony Dropped by several enemies,https://bg3.wiki/w/images/thumb/0/07/Leather_Armour_3_Faded.png/300px-Leather_Armour_3_Faded.png,ARM_Leather,ARM_Leather_A_Body | ARM_Leather_A_Pants | ARM_Leather_A_Sleeves
42,Leather Armour +1,Leather Armour +1 is an uncommon Light Armour that grants a +1 bonus to Stealth checks. ,12,Dexterity,Light Armour,Light Armour,Uncommon,4.5kg / 9lb,130 gp,Stealthy: Gain a +1 bonus to Stealth Checks.,,,,Sold by traders using the levelled magic armour table when the player is between levels 4 and 6.,https://bg3.wiki/w/images/thumb/6/63/Leather_Armour_PlusOne_Icon.png/300px-Leather_Armour_PlusOne_Icon.png,ARM_Leather_1,90a79e46-e327-41f4-a349-8e4dd70b1892
43,Scarlet Leather Armour,Scarlet Leather Armour is an uncommon Light Armour that grants its wearer +1 to Stealth checks. ,12,Dexterity,Light Armour,Light Armour,Uncommon,4.5kg / 9lb,160 gp,Stealthy: Gain a +1 bonus to Stealth Checks.,,,,"Act Three:  Can be looted from Dolor the assassin, found at the Wine Festival X:18Y:-36 in the Lower City of Baldur's Gate. Can be found in the Shabby Wardobe in Ffion Goldgrind's room, X:-14Y:75 in Wyrm's Crossing.",https://bg3.wiki/w/images/thumb/4/41/Scarlet_Leather_Armour_Icon.png/300px-Scarlet_Leather_Armour_Icon.png,ARM_Leather_1_Red,2cbf1f6b-2607-4789-972f-f51e8c892a68
44,Seluniute Robe,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
45,Simple Jerkin,Simple Jerkin is a common Light Armour. ,11,Dexterity,Light Armour,Light Armour,Common,4.5kg / 9lb,40 gp,,,,,Starting clothing for a bard.,https://bg3.wiki/w/images/thumb/2/25/Simple_Jerkin_Icon.png/300px-Simple_Jerkin_Icon.png,ARM_Bard_A,CLT_Bard_Body_A | CLT_Bard_Pants_A | CLT_Bard_Belts_A
46,Padded Armour,Padded Armour is a common Light Armour. It is the starter armour for Warlocks. ,11,Dexterity,Light Armour,Light Armour,Common,3.6kg / 7.2lb,30 gp,,,,,Starting armour for a Warlock.,https://bg3.wiki/w/images/thumb/1/13/Padded_Armour_3_Faded.png/300px-Padded_Armour_3_Faded.png,ARM_Padded,ARM_Padded_A_0_Body | ARM_Padded_A_Pants
47,Padded Armour Astarion,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
48,Studded Leather Armour,Studded Leather Armour is a common Light Armour. ,12,Dexterity,Light Armour,Light Armour,Common,5.9kg / 11.8lb,100 gp,,,,,Sold by the following merchants: Roah Moonglow in the Shattered Sanctum Dropped by several enemies,https://bg3.wiki/w/images/thumb/8/82/Studded_Leather_Icon.png/300px-Studded_Leather_Icon.png,ARM_StuddedLeather,19451420-13f6-444c-a15b-7abb6dde3f91
49,Studded Leather Armour +1,Studded Leather Armour +1 is an uncommon Light Armour that reduces Bludgeoning damage by 1. ,13,Dexterity,Light Armour,Light Armour,Uncommon,5.85kg / 11.7lb,260 gp,Superior Padding: You take 1 less Bludgeoning damage.,,,,Sold by traders using the levelled magic armour table when the player is between levels 6 and 8.,https://bg3.wiki/w/images/thumb/9/9d/Studded_Leather_Armour_%2B1_Icon.png/300px-Studded_Leather_Armour_%2B1_Icon.png,ARM_StuddedLeather_1,58d7927f-c6eb-4635-85b6-70265c621b3d
50,Studded Leather Armour +2,Studded Leather Armour +2 is a rare Light Armour that reduces Bludgeoning damage by 1 and also boosts Initiative by 1. ,14,Dexterity,Light Armour,Light Armour,Rare,5.85kg / 11.7lb,770 gp,Superior Padding: You take 1 less Bludgeoning damage.,Ambusher: Gain a +1 bonus to Initiative Rolls.,,,Sold by traders using the levelled magic armour table when the player is level 9 or above.,https://bg3.wiki/w/images/thumb/8/82/Studded_Leather_Armour_PlusTwo_Icon.png/300px-Studded_Leather_Armour_PlusTwo_Icon.png,ARM_StuddedLeather_2,83603f36-d158-4a0e-b9c9-358413ba3a92
51,Leather Armour +2,Leather Armour +2 is an uncommon Light Armour that grants a +1 bonus to Stealth checks as well as Dexterity Saving Throws and Ability Checks. ,13,Dexterity,Light Armour,Light Armour,Rare,4.5kg / 9lb,380 gp,Stealthy: Gain a +1 bonus to Stealth Checks.,Balance: Gain a +1 bonus to Dexterity Saving throws and Ability checks,,,Sold by traders using the levelled magic armour table when the player is level 7 or above.,https://bg3.wiki/w/images/thumb/0/01/Leather_Armour_PlusTwo_Icon.png/300px-Leather_Armour_PlusTwo_Icon.png,ARM_Leather_2,ac71c753-c207-465c-b28b-c10f95ed0745
52,Small Mail Armour,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
53,Broken Padded Armour,Broken Padded Armour is a common Light Armour. ,11,Dexterity,Light Armour,Light Armour,Common,3.6kg / 7.2lb,70 gp,Disadvantage on Stealth checks.,,,,A set of Broken Padded Armour can be found on a shelf in the basement beneath the Risen Road Toll House.,https://bg3.wiki/w/images/thumb/c/cc/Broken_Padded_Armour_Faded.png/300px-Broken_Padded_Armour_Faded.png,ARM_Padded_Broken,357db089-630f-437d-9a04-88c0d5d3c0ff
54,Padded Armour +1,Padded Armour +1 is a uncommon Light Armour. ,12,Dexterity,Light Armour,Light Armour,Uncommon,3.6kg / 7.2lb,105 gp,Superior Padding: You take 1 less Bludgeoning damage.,,,,Sold by traders using the levelled magic armour table when the player is between levels 2 and 4.,https://bg3.wiki/w/images/thumb/b/be/Padded_Armour_PlusOne_B_Icon.png/300px-Padded_Armour_PlusOne_B_Icon.png,ARM_Padded_1,f5faa6c5-a43c-4edd-a77f-6e7536a7e683
55,Padded Armour +2,Padded Armour +2 is a rare Light Armour that reduces Bludgeoning damage by 2. ,13,Dexterity,Light Armour,Light Armour,Rare,3.6kg / 7.2lb,310 gp,Superior Padding: You take 2 less Bludgeoning damage.,,,,Sold by traders using the levelled magic armour table when the player is between levels 5 and 8.,https://bg3.wiki/w/images/thumb/4/4f/Padded_Armour_PlusTwo_Icon.png/300px-Padded_Armour_PlusTwo_Icon.png,ARM_Padded_2,96613037-cbac-4f43-a39b-584e6f2629c7
56,Spidersilk Armour,Spidersilk Armour is a rare Light Armour that aids the wearer with Stealth checks and Constitution Saving Throws. ,12,Dexterity,Light Armour,Light Armour,Rare,5.8kg / 11.6lb,1150 gp,Stealthy: Gain a +1 bonus to Stealth Checks.,Advantage on Constitution Saving throws,,,Act One: Worn by Minthara when recruited or dropped by her in the Shattered Sanctum,https://bg3.wiki/w/images/thumb/8/85/Spidersilk_Armour_Faded.webp/300px-Spidersilk_Armour_Faded.webp.png,GOB_DrowCommander_Armor_Leather,c0c0534c-b7fc-4d0b-a335-b8f4c548852d
57,Blazer of Benevolence,The Blazer of Benevolence is an uncommon Light Armour that grants the wearer Temporary Hit Points when they inspire an ally with Bardic Inspiration. ,11,Dexterity,Light Armour,Light Armour,Uncommon,4.5kg / 9lb,160 gp,"Remedial Rhymes: When you inspire an ally using Bardic Inspiration, you gain 4 temporary hit points.",,,,Act One: Reward for rescuing Volo from the Goblin Camp during Rescue Volo.,https://bg3.wiki/w/images/thumb/f/ff/Blazer_of_Benevolence_Icon.png/300px-Blazer_of_Benevolence_Icon.png,MAG_Bard_TempHP_Armor,947dbbe3-19e3-4b96-ba5a-14750f0acc29
58,Shadeclinger Armour,Shadeclinger Armour is a rare Light Armour that grants Advantage on Saving Throws while Obscured. ,12,Dexterity,Light Armour,Light Armour,Rare,4.5kg / 9lb,130 gp,"Shadeclinger: While Obscured, the wearer has Advantage on Saving throws.",Stealth +1,,,Act Two: Sold by Quartermaster Talli at the Last Light Inn,https://bg3.wiki/w/images/thumb/4/41/Scarlet_Leather_Armour_Icon.png/300px-Scarlet_Leather_Armour_Icon.png,MAG_Harpers_ArmorOfShadows,2077fe9a-991d-4763-9b1a-fff843efd705
59,Armour of the Sporekeeper,Armour of the Sporekeeper is a very rare Light Armour that enhances the wearer's Necrotic damage and Symbiotic Entity ability with 3 new abilities. ,13,Dexterity,Light Armour,Light Armour,Very Rare,4.5kg / 9lb,1050 gp / 1450 gpHHonour,"Malefic Funghi: The wearer gains a +1 bonus to Spell Save DC and when dealing Necrotic damage, they deal an additional 1Necrotic Damage.","Spore Sacks: While imbued with Symbiotic Entity, you can spread Bibberbang Spores, Timmask Spores, and Haste Spores.",,,Act Three: Can be bought or looted (not guaranteed) from Mystic Carrion in Philgrave's Mansion inside the Lower City.,https://bg3.wiki/w/images/thumb/0/03/Armour_of_Landfall_Icon.png/300px-Armour_of_Landfall_Icon.png,MAG_Druid_Spore_Magic_Leather_Armor,eb3a4744-26e4-404a-be65-c72bb17f5cfc
60,Elegant Studded Leather,"Elegant Studded Leather is a very rare Light Armour that provides bonuses to initiative, Advantage on Stealth checks, and grants access to the Shield spell. ",14,Dexterity,Light Armour,Light Armour,Very Rare,5.85kg / 11.7lb,2000 gp,Ambusher: Gain a +2 bonus to Initiative Rolls.,Advantage on Stealth checks.,Shield: Cast as a level 1 spell (Recharge: Short rest).,,Act Three: Looted from High Security Vault n°9 (inside the big vault at the back of the room) in The Counting House of the Lower City. A key for this vault can be obtained by completing Return Rakath's Gold.,https://bg3.wiki/w/images/thumb/b/bd/Elegant_Studded_Leather_Icon.png/300px-Elegant_Studded_Leather_Icon.png,MAG_EndGame_StuddedLeather_Armor,8472235c-8ced-4db3-825f-322eace0f34d
61,Armour of Moonbasking,Armour of Moonbasking is a very rare Light Armour bought from Voiceless Penitent Bareki that bestows Temporary Hit Points and Armour Class to its wielder when they Wild Shape. ,11,Dexterity,Light Armour,Light Armour,Very Rare,4.5kg / 9lb,1400 gp,Lunar Bestial Vitality: You gain 22 temporary hit points after casting Wild Shape. While those temporary hit points are active reduce all incoming damage by 1.,Lunar Bestial Fortitude: You have a +2 bonus to Armour Class. You also have Advantage on Saving throws against spells. This effect persists while using your druidic Wild Shape ability.,,,Act Three: Sold by Voiceless Penitent Bareki X:-157Y:939 in the Undercity Ruins of the Lower City sewers. Bareki is next to the Undercity Ruins Ancient Rune Circle.,https://bg3.wiki/w/images/thumb/0/03/Armour_of_Landfall_Icon.png/300px-Armour_of_Landfall_Icon.png,MAG_Druid_Moon_Magic_Leather_Armor,d33d71f8-f7b9-4c19-9b39-03d0b9ba8829
62,Adamantine Scale Mail,"Adamantine Scale Mail is a very rare Medium Armour that reduces all damage by 1 and sends attackers Reeling. In addition, attacks cannot land Critical Hits on the user. ",16,Dexterity (max +2),Medium Armour,Medium Armour,Very Rare,12kg / 24lb,1300 gp,Magical Plate: All incoming damage is reduced by 1,"Adamantine Backlash: When a melee attack hits you, the attacker is sent Reeling for 2 turns.",Attackers can't land Critical Hits on the wearer.,Disadvantage on Stealth checks.,Act One: Adamantine Scale Mail can be forged in the Adamantine Forge. Forging this armour requires the Scale Mail Mould and one Mithral Ore.,https://bg3.wiki/w/images/thumb/e/e0/Adamantine_Scale_Mail_Icon.png/300px-Adamantine_Scale_Mail_Icon.png,MAG_MeleeDebuff_AttackDebuff1_OnDamage_ScaleMail,5427c806-5565-421f-a00f-a8282a9f504f
63,Armour of Agility,"The Armour of Agility is a very rare Medium Armour that doesn't limit your AC's Dexterity bonus, and boosts all of the user's Saving Throws by 2. ",17,Dexterity,Medium Armour,Medium Armour,Very Rare,12kg / 24lb,2900 gp,"Exotic Material: Add your full Dexterity Modifier to your Armour Class. Additionally, this armour does not impose Disadvantage on Stealth Ability Checks.",Saving throws +2.,,,Act Three: Sold by Gloomy Fentonson at Stormshore Armoury.,https://bg3.wiki/w/images/thumb/9/96/Armour_of_Agility_Icon.png/300px-Armour_of_Agility_Icon.png,MAG_EndGame_HalfPlate,42e6357a-4c05-4eda-9415-6b6b4c7d44c5
64,Breastplate +2,Breastplate +2 is a rare Medium Armour that reduces Piercing damage and grants a +1 bonus to Dexterity Saving Throws and Ability Checks. ,16,Dexterity (max +2),Medium Armour,Medium Armour,Rare,9kg / 18lb,600 gp,Superior Plate: You take 1 less Piercing damage.,Balance: Gain a +1 bonus to Dexterity Saving throws and Ability checks,,,Sold by traders using the levelled magic armour table when the player is level 9 or above.,https://bg3.wiki/w/images/thumb/9/97/Breastplate_PlusTwo_Icon.png/300px-Breastplate_PlusTwo_Icon.png,ARM_BreastPlate_2,4842e9ec-95ba-4168-81a9-f184b08d6c2c
65,Chain Shirt +2,Chain Shirt +2 is a rare Medium Armour that reduces Slashing damage and grants a +1 bonus to Dexterity Saving Throws and Ability Checks,15,Dexterity (max +2),Medium Armour,Medium Armour,Rare,9kg / 18lb,210 gp,Superior Material: You take 1 less Slashing damage.,Balance: Gain a +1 bonus to Dexterity Saving throws and Ability checks,,,Sold by traders using the levelled magic armour table when the player is between levels 5 and 8.,https://bg3.wiki/w/images/thumb/c/c6/Chain_Shirt_PlusTwo_Icon.png/300px-Chain_Shirt_PlusTwo_Icon.png,ARM_ChainShirt_2,461f1cbe-6d0d-40ee-8bf6-8a68e0570d6f
66,Dark Justiciar Half-Plate,,,,Dark Justiciar Half-Plate (Rare),,,,,,,,,,https://bg3.wiki/w/images/thumb/3/32/Stunned_Condition_Icon.webp/40px-Stunned_Condition_Icon.webp.png,,
67,Dark Justiciar Half-Plate,,,,Dark Justiciar Half-Plate (Rare),,,,,,,,,,https://bg3.wiki/w/images/thumb/3/32/Stunned_Condition_Icon.webp/40px-Stunned_Condition_Icon.webp.png,,
68,Flame Enamelled Armour,Flame Enamelled Armour is a very rare Medium Armour that grants a +2 bonus to Initiative and grants Resistance to Fire damage and +2 to all Saving Throws. It also allows the user to cast the Fire Shield: Warm spell. ,16,Dexterity (max +2),Medium Armour,Medium Armour,Very Rare,12kg / 24lb,2900 gp,Seldom Caught Unawares: You gain a +2 bonus to Initiative rolls.,Endurance by Fire: You have Resistance to Fire damage and a +2 bonus to Saving throws.,Fire Shield: Warm: Cast as a level 4 spell (Recharge: Long rest).,Disadvantage on Stealth checks.,Act Three: Can be found in a chest at Wyrm's Rock Fortress at X:-28Y:184,https://bg3.wiki/w/images/thumb/1/14/Half_Plate_Armour_Flaming_Fist_Faded.png/300px-Half_Plate_Armour_Flaming_Fist_Faded.png,MAG_FlamingFist_Flame_Armor,12a8f326-cc3a-4d21-92c2-f3a6d0fcaee3
69,Half Plate Armour +2,Half Plate Armour +2 is a rare Medium Armour that moderately reduces Slashing damage. ,17,Dexterity (max +2),Medium Armour,Medium Armour,Rare,12kg / 24lb,1100 gp,Superior Plate: You take 2 less Piercing damage.,Disadvantage on Stealth checks.,,,Sold by traders using the levelled magic armour table when the player is level 9 or above.,https://bg3.wiki/w/images/thumb/c/c8/Half_Plate_Armour_PlusTwo_Icon.png/300px-Half_Plate_Armour_PlusTwo_Icon.png,ARM_HalfPlate_2,15338da1-c4f8-4b43-912c-c14e7d9a8579
70,Hide Armour +2,"Hide Armour +2 is a rare Medium Armour that grants a +1 bonus to Dexterity Saving Throws and Ability Checks, as well as Initiative. ",14,Dexterity (max +2),Medium Armour,Medium Armour,Rare,5.4kg / 10.8lb,310 gp,Balance: Gain a +1 bonus to Dexterity Saving throws and Ability checks,Ambusher: Gain a +1 bonus to Initiative Rolls.,,,Sold by traders using the levelled magic armour table when the player is level 5 or above.,https://bg3.wiki/w/images/thumb/6/6f/Hide_Armour_PlusTwo_Icon.png/300px-Hide_Armour_PlusTwo_Icon.png,ARM_Hide_2,fd4ab5b0-67e6-4a8b-8745-2003f2f5ada3
71,Sharpened Snare Cuirass,Sharpened Snare Cuirass is a very rare Medium Armour that adds your full Dexterity Modifier to your Armour Class. Enemies also have Disadvantage when resisting your attacks and Saving Throws that inflict Restrained. ,14,Dexterity,Medium Armour,Medium Armour,Very Rare,5.4kg / 10.8lb,830 gp,"Exotic Material: Add your full Dexterity Modifier to your Armour Class. Additionally, this armour does not impose Disadvantage on Stealth Ability Checks.",Sharpened Snare: Creatures have Disadvantage on Saving throws when resisting your attacks and spells that inflict Restrained.,,,Act Two: Sold by Roah Moonglow in Moonrise Towers.,https://bg3.wiki/w/images/thumb/6/6f/Hide_Armour_PlusTwo_Icon.png/300px-Hide_Armour_PlusTwo_Icon.png,MAG_Druid_Late_Hide_Armor_2,dee3077c-f9ef-4b28-8878-9b61a92ae601
72,Barkskin Armour,Barkskin Armour is a rare Medium Armour that sets the user's Armour Class to 16 and grants Advantage on Constitution Saving Throws. ,12,Dexterity (max +2),Medium Armour,Medium Armour,Rare,5.4kg / 10.8lb,420 gp,"Forest Aegis: You are invested with the power of the meadows and woods of the land, and have the effect of Barkskin, increasing your Armour Class to 16.",Advantage on Constitution Saving throws.,,,Act Two: Sold by Quartermaster Talli in Last Light Inn.,https://bg3.wiki/w/images/thumb/c/c8/Hide_Armour_PlusOne_Icon.png/300px-Hide_Armour_PlusOne_Icon.png,MAG_Druid_Late_Hide_Armor_1,a1d321be-ff4c-423a-bc50-bcad85a3a83a
73,Elven Chain,Elven Chain is a rare Medium Armour that grants its wearer bonuses to Initiative Rolls and Dexterity Saving Throws. ,14,Dexterity (max +2),Medium Armour,Medium Armour,Rare,9kg / 18lb,510 gp,Elven Chain: You are considered Proficient with this armour while wearing it.,Elven Agility: The wearer has a +2 bonus to Initiative Rolls and Advantage on Dexterity Saving throws.,,,Act Three: Sold by Exxvikyap at the Rivington General.,https://bg3.wiki/w/images/thumb/e/e5/Elven_Chain_Icon.png/300px-Elven_Chain_Icon.png,MAG_PHB_ElvenChain_Armor,391bccb7-8199-41e3-9aa3-261def2ebf26
74,Psionic Ward Armour,Psionic Ward Armour is a set of rare Medium Armour that gives the wearer Resistance to Psychic damage and heals them if they pass a Saving throws. ,15,Dexterity (max +2),Medium Armour,Medium Armour,Rare,12kg / 24lb,1450 gp,"Psionic Ward: If the item detects that the wearer is gith, they have Resistance to Psychic damage.",,,,Act Two: Looted from Ch'r'ai Tska'an in Reithwin Town near the bridge leading to the To Baldur's Gate waypoint.,https://bg3.wiki/w/images/thumb/6/6a/Psionic_Ward_Armour_Icon.png/300px-Psionic_Ward_Armour_Icon.png,MAG_Githborn_MagicEating_HalfPlate,f601bac2-16a7-4da0-854a-ae4132ca448f
75,Scale Mail +2,Scale Mail +2 is a rare Medium Armour. ,16,Dexterity (max +2),Medium Armour,Medium Armour,Rare,12kg / 24lb,480 gp,Superior Material: You take 1 less Slashing damage.,Ambusher: Gain a +1 bonus to Initiative Rolls.,Disadvantage on Stealth checks.,,Sold by traders using the levelled magic armour table when the player is level 7 or above.,https://bg3.wiki/w/images/thumb/4/4d/Scale_Mail_PlusTwo_Icon.png/300px-Scale_Mail_PlusTwo_Icon.png,ARM_ScaleMail_2,21f0dd84-6f02-4be9-8654-4cebd00dcbaf
76,The Jolty Vest,The Jolty Vest is a Rare Medium Armour that shocks enemies who land attacks on the wearer while they have Lightning Charges. ,14,Dexterity (max +2),Medium Armour,Medium Armour,Rare,9kg / 18lb,510 gp,Superior Material: You take 1 less Slashing damage.,"Countershock: When the wearer takes damage while having Lightning Charges, the attacker must succeed a Dexterity Saving throw or become Shocked.",,,Act One: Sold by Brem in the Zhentarim Hideout after completing Find the Missing Shipment.,https://bg3.wiki/w/images/thumb/f/f5/The_Jolty_Vest_Icon.png/300px-The_Jolty_Vest_Icon.png,MAG_ChargedLightning_Electrocute_Armor,1fda52bd-6983-49a3-ba52-6756327a5182
77,Unwanted Masterwork Scalemail,The Unwanted Masterwork Scalemail is a rare Medium Armour that doesn't limit your AC's Dexterity bonus. It is part of the Unwanted set. ,16,Dexterity,Medium Armour,Medium Armour,Rare,12kg / 24lb,640 gp,"Exotic Material: Add your full Dexterity Modifier to your Armour Class. Additionally, this armour does not impose Disadvantage on Stealth Ability Checks.",Resistance to Fire damage.,,,Act Three: Sold by Dammon at Forge of the Nine.,https://bg3.wiki/w/images/thumb/7/70/Unwanted_Masterwork_Scalemail_Icon.png/300px-Unwanted_Masterwork_Scalemail_Icon.png,UNI_ARM_ScaleMail_DevilsBlacksmith,5ff8df3a-6924-4eb4-9d1a-9e87bd644bf7
78,Yuan-ti Scale Mail,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
79,Hedge Wanderer Armour,The Hedge Wanderer Armour is an uncommon Medium Armour that provides a small boost to Dexterity related rolls and towards Nature Skill Checks. ,13,Dexterity (max +2),Medium Armour,Medium Armour,Uncommon,5.4kg / 10.8lb,130 gp,Balance: Gain a +1 bonus to Dexterity Saving throws and Ability checks,Nature +1.,,,Act One: Sold by Arron in the Druid Grove,https://bg3.wiki/w/images/thumb/c/c8/Hide_Armour_PlusOne_Icon.png/300px-Hide_Armour_PlusOne_Icon.png,MAG_Druid_Magic_Hide_Armor,9cf8e8a9-16ee-4186-88b7-bdfcaa734e61
80,Luminous Armour,Luminous Armour is an uncommon Medium Armour that allows the wearer to cause radiant shockwaves whenever they deal Radiant damage. ,15,Dexterity (max +2),Medium Armour,Medium Armour,Uncommon,9kg / 18lb,250 gp,"Radiating Shockwave: When the wearer deals Radiant damage, they cause a Radiant Shockwave.",,,,"Act One: Found in a locked and trapped Opulent Chest in the Selûnite Outpost area of the Underdark X:176Y:-247. The chest is behind a hidden door revealed by a Perception check, or it can be accessed by jumping from the room with the waypoint.",https://bg3.wiki/w/images/thumb/8/83/Luminous_Armour_Icon.png/300px-Luminous_Armour_Icon.png,MAG_Radiant_RadiatingOrb_Armor,a2cbaf4f-3eb8-4362-9f2e-d325a0d47a36
81,Breastplate +1,Breastplate +1 is an uncommon Medium Armour that reduces Piercing damage. ,15,Dexterity (max +2),Medium Armour,Medium Armour,Uncommon,9kg / 18lb,200 gp,Superior Plate: You take 1 less Piercing damage.,,,,Act One: Can be stolen from a crate near Dammon in the The Hollow. X:177Y:560 Sold by traders using the levelled magic armour table when the player is between levels 6 and 8.,https://bg3.wiki/w/images/thumb/2/21/Breastplate_PlusOne_Icon.png/300px-Breastplate_PlusOne_Icon.png,ARM_BreastPlate_1,ad912cef-8bfb-4bf3-98f0-f2c5e3b45915
82,Chain Of Liberation,There is currently no text in this page.,,,Not logged inTalkContributionsCreate accountLog in,,,,,,,,,,https://bg3.wiki/w/resources/assets/licenses/cc-by-nc-sa.png,,
